arabic_text,translation,transliteration,etymology
دِينِ,the law,dīni,
دِينِ,(the) religion of Allah,dīni,
دِينِ,(is) my religion,dīni,
دِينِكُمْ,your religion,dīnikum,
دِينِهِم,their religion,dīnihim,
دِينِهِۦ,his religion,dīnihi,
دِينِى,my religion,dīnī,
دِينِى,(in) my religion,dīnī,
دِيَـٰرِكُم,your homes,diyārikum,
دِيَـٰرِكُمْ,your homes,diyārikum,
دِيَـٰرِنَا,our homes,diyārinā,
دِيَـٰرِهِم,their homes,diyārihim,
دِيَـٰرِهِمْ,their homes,diyārihim,
دَّخَلُوا۟,they entered,dakhalū,
دَّعَوَا,they both invoke,daʿawā,
دَّعْوَتُكُمَا,(the) invocation of both of you,daʿwatukumā,
ذَا,(is) the one,dhā,
ذَا,(is),dhā,
ذَا,(of),dhā,
ذَا,(one of),dhā,
ذَا,the relatives,dhā,
ذَا,of a punishment,dhā,
ذَا,the relative,dhā,
ذَا,(is) it that,dhā,
ذَا,near of kin,dhā,
ذَا,the possessor of strength,dhā,
ذَا,the one who,dhā,
ذَا,a possessor,dhā,
ذَا,that,dhā,
ذَا,of,dhā,
ذَا,in,dhā,
ذَاتَ,that,dhāta,
ذَاتَ,to,dhāta,
ذَاتَ,of beauty (and delight),dhāta,
ذَاتَ,of,dhāta,
ذَاتُ,having,dhātu,
ذَاتِ,that,dhāti,
ذَاتِ,pregnant woman,dhāti,
ذَاتِ,of tranquility,dhāti,
ذَاتِ,full of,dhāti,
ذَاتِ,(ark) made of planks,dhāti,
ذَاتِ,containing,dhāti,
ذَاتِ,full,dhāti,
ذَاتِ,which,dhāti,
ذَاتِ,possessors (of),dhāti,
ذَاقَا,they both tasted,dhāqā,
ذَاقُوا۟,they tasted,dhāqū,
ذَاهِبٌ,going,dhāhibun,
ذَآئِقَةُ,(will) taste,dhāiqatu,
ذَرَأَ,He produced,dhara-a,
ذَرَأَ,He multiplied,dhara-a,
ذَرَأَكُمْ,multiplied you,dhara-akum,
ذَرَأْنَا,We have created,dharanā,
ذَرُونَا,Allow us,dharūnā,
ذَرُونِىٓ,Leave me,dharūnī,
ذَرَّةٍ,(of) an atom,dharratin,
ذَرَّةٍۢ,(of) an atom,dharratin,
ذَرَّةٍۢ ۖ,(of) an atom,dharratin,
ذَرْعًۭا,(and) uneasy,dharʿan,
ذَرْعُهَا,its length,dharʿuhā,
ذَرْنَا,Leave us,dharnā,
ذَرْنِى,Leave Me,dharnī,
ذَرْهُمْ,leave them,dharhum,
ذَرْهُمْ,Leave them,dharhum,
ذَرْوًۭا,dispersing,dharwan,
ذَكَرٍ,(whether) male,dhakarin,
ذَكَرٍ,(the) male,dhakarin,
ذَكَرٍ,male,dhakarin,
ذَكَرٍۢ,a male,dhakarin,
ذَكَرَهُۥ,(may) pay heed to it,dhakarahu,
ذَكَرَهُۥ,may remember it,dhakarahu,
ذَكَرُوا۟,they remember,dhakarū,
ذَكَرْتَ,you mention,dhakarta,
ذَكَّيْتُمْ,you slaughtered,dhakkaytum,
ذَلُولًۭا,subservient,dhalūlan,
ذَلُولٌۭ,trained,dhalūlun,
ذَنُوبًۭا,(is) a portion,dhanūban,
ذَنُوبِ,(the) portion,dhanūbi,
ذَنۢبٌۭ,a crime,dhanbun,
ذَنۢبٍۢ,sin,dhanbin,
ذَنۢبِكَ,your sins,dhanbika,
ذَنۢبِهِۦٓ,his sin,dhanbihi,
ذَهَابٍۭ,taking it away,dhahābin,
ذَهَبًۭا,(of) gold,dhahaban,
ذَهَبٍ,gold,dhahabin,
ذَهَبٍۢ,gold,dhahabin,
ذَهَبَ,took away,dhahaba,
ذَهَبَ,Have gone,dhahaba,
ذَهَبَ,(had) gone away,dhahaba,
ذَهَبَ,departs,dhahaba,
ذَهَبَ,he went,dhahaba,
ذَهَبَتْ,have gone,dhahabat,
ذَهَبُوا۟,they took him,dhahabū,
ذَهَبْنَا,[we] went,dhahabnā,
ذَوَا,two men,dhawā,
ذَوَا,men,dhawā,
ذَوَاتَآ,Having,dhawātā,
ذَوَاتَىْ,producing fruit,dhawātay,
ذَوَىْ,two men,dhaway,
ذَوِى,(to) those,dhawī,
ذَٰلِكَ,That,dhālika,
ذَٰلِكَ,that,dhālika,
ذَٰلِكَ,That (was),dhālika,
ذَٰلِكَ,That (is),dhālika,
ذَٰلِكَ,that (period),dhālika,
ذَٰلِكَ,that (was),dhālika,
ذَٰلِكَ,(of) that,dhālika,
ذَٰلِكَ,That (is because),dhālika,
ذَٰلِكَ,That is,dhālika,
ذَٰلِكَ,(is) that,dhālika,
ذَٰلِكَ,[that],dhālika,
ذَٰلِكَ,that ,dhālika,
ذَٰلِكَ,And that is,dhālika,
ذَٰلِكَ,(With) that,dhālika,
ذَٰلِكَ,That ,dhālika,
ذَٰلِكَ,that was made fair-seeming,dhālika,
ذَٰلِكَ,(all) that,dhālika,
ذَٰلِكَ ۖ,that,dhālika,
ذَٰلِكَ ۗ,that (of the father),dhālika,
ذَٰلِكَ ۚ,that,dhālika,
ذَٰلِكُم,that,dhālikum,
ذَٰلِكُم,That,dhālikum,
ذَٰلِكُم,That was,dhālikum,
ذَٰلِكُمَا,That,dhālikumā,
ذَٰلِكُمُ,that,dhālikumu,
ذَٰلِكُمُ,That,dhālikumu,
ذَٰلِكُمُ,That (is),dhālikumu,
ذَٰلِكُمُ ۗ,that,dhālikumu,
ذَٰلِكُمْ,That,dhālikum,
ذَٰلِكُمْ,that,dhālikum,
ذَٰلِكُمْ,that (condition),dhālikum,
ذَٰلِكُمْ,That ,dhālikum,
ذَٰلِكُمْ,That (is the case),dhālikum,
ذَٰلِكُمْ ۚ,that,dhālikum,
ذُبَابًۭا,a fly,dhubāban,
ذُبِحَ,is sacrificed,dhubiḥa,
ذُرِّيَّةًۢ,Descendents,dhurriyyatan,
ذُرِّيَّةًۭ,offspring,dhurriyyatan,
ذُرِّيَّةًۭ,descendants,dhurriyyatan,
ذُرِّيَّةٌۭ,children,dhurriyyatun,
ذُرِّيَّةٌۭ,(the) offspring,dhurriyyatun,
ذُرِّيَّةَ,Offsprings,dhurriyyata,
ذُرِّيَّةِ,the descendants,dhurriyyati,
ذُرِّيَّةِ,(the) offspring,dhurriyyati,
ذُرِّيَّتَهُمْ,their descendants,dhurriyyatahum,
ذُرِّيَّتَهُمْ,their offspring,dhurriyyatahum,
ذُرِّيَّتَهُۥ,his offspring,dhurriyyatahu,
ذُرِّيَّتَهُۥٓ,his offspring,dhurriyyatahu,
ذُرِّيَّتُهُم,their offspring,dhurriyyatuhum,
ذُرِّيَّتِنَآ,our offspring,dhurriyyatinā,
ذُرِّيَّتِهِ,his offsprings,dhurriyyatihi,
ذُرِّيَّتِهِمَا,their offspring,dhurriyyatihimā,
ذُرِّيَّتِهِۦ,his descendents,dhurriyyatihi,
ذُرِّيَّتِى,my offsprings,dhurriyyatī,
ذُرِّيَّتِى ۖ,my offspring,dhurriyyatī,
ذُرِّيَّتِى ۚ,my offsprings,dhurriyyatī,
ذُرِّيَّتِىٓ ۖ,my offspring,dhurriyyatī,
ذُقْ,Taste,dhuq,
ذُكِرَ,(is) mentioned,dhukira,
ذُكِرَ,has been mentioned,dhukira,
ذُكِرَ,is mentioned,dhukira,
ذُكِرَ,Allah is mentioned,dhukira,
ذُكِرَ,are mentioned,dhukira,
ذُكِّرَ,is reminded,dhukkira,
ذُكِّرُوا۟,they were reminded,dhukkirū,
ذُكِّرُوا۟,they had been reminded,dhukkirū,
ذُكِّرُوا۟,they are reminded,dhukkirū,
ذُكِّرْتُم ۚ,you are admonished,dhukkir'tum,
ذُكْرَانًۭا,males,dhuk'rānan,
ذُلُلًۭا ۚ,made smooth,dhululan,
ذُنُوبَكُمْ,your sins,dhunūbakum,
ذُنُوبَكُمْ ۗ,your sins,dhunūbakum,
ذُنُوبَنَا,our sins,dhunūbanā,
ذُنُوبَنَآ,(of) our sins,dhunūbanā,
ذُنُوبِكُمْ,your sins,dhunūbikum,
ذُنُوبِهِمُ,their sins,dhunūbihimu,
ذُنُوبِهِمْ ۗ,(of) their sins,dhunūbihim,
ذُو,(is the) Possessor,dhū,
ذُو,(is) Possessor,dhū,
ذُو,the (debtor),dhū,
ذُو,All-Able,dhū,
ذُو,(is) the Possessor,dhū,
ذُو,Owner,dhū,
ذُو,(the) Possessor,dhū,
ذُو,Owner (of) Retribution,dhū,
ذُو,(the) owner,dhū,
ذُو,Owner (of) the Throne,dhū,
ذُو,(to the) owner,dhū,
ذُو,Possessor,dhū,
ذُو,Possessor of soundness,dhū,
ذُو,having,dhū,
ذُو,(the) Owner,dhū,
ذُو,(is) the Possessor of Bounty,dhū,
ذُو,owner,dhū,
ذُو,Owner (of),dhū,
ذُوقُوا۟,Taste,dhūqū,
ذِرَاعًۭا,cubits,dhirāʿan,
ذِرَاعَيْهِ,his two forelegs,dhirāʿayhi,
ذِكْرًا,a remembrance,dhik'ran,
ذِكْرًا,(the) Message,dhik'ran,
ذِكْرًا,(the) Reminder,dhik'ran,
ذِكْرًۭا,a mention,dhik'ran,
ذِكْرًۭا,a Reminder,dhik'ran,
ذِكْرًۭا,remembrance,dhik'ran,
ذِكْرًۭا,(with) remembrance,dhik'ran,
ذِكْرًۭا,a reminder,dhik'ran,
ذِكْرًۭا,a Message,dhik'ran,
ذِكْرًۭا ۗ,remembrance,dhik'ran,
ذِكْرٌۭ,a reminder,dhik'run,
ذِكْرٌۭ,(is) a Reminder,dhik'run,
ذِكْرٌۭ,a Reminder,dhik'run,
ذِكْرٌۭ ۚ,(is) a Reminder,dhik'run,
ذِكْرٍۢ,a Reminder,dhik'rin,
ذِكْرٍۢ,reminder,dhik'rin,
ذِكْرَ,(the) mention,dhik'ra,
ذِكْرَ,(the) remembrance,dhik'ra,
ذِكْرَكَ,your reputation,dhik'raka,
ذِكْرَى,remembrance,dhik'rā,
ذِكْرَىٰ,(for) reminder,dhik'rā,
ذِكْرَىٰ,a reminder,dhik'rā,
ذِكْرَىٰ,(is) a reminder,dhik'rā,
ذِكْرَىٰ,(To) remind,dhik'rā,
ذِكْرَىٰهَآ,(to) mention it,dhik'rāhā,
ذِكْرَىٰهُمْ,their reminder,dhik'rāhum,
ذِكْرُ,(A) mention,dhik'ru,
ذِكْرُ,(is) a Reminder,dhik'ru,
ذِكْرُكُمْ ۖ,(is) your mention,dhik'rukum,
ذِكْرِ,(the) remembrance,dhik'ri,
ذِكْرِ,(the) remembrance of Allah,dhik'ri,
ذِكْرِ,the Remembrance,dhik'ri,
ذِكْرِنَا,Our remembrance,dhik'rinā,
ذِكْرِنَا,Our Reminder,dhik'rinā,
ذِكْرِهِم,their reminder,dhik'rihim,
ذِكْرِى,My remembrance,dhik'rī,
ذِكْرِى ۖ,My Message,dhik'rī,
ذِلَّةٌ ۚ,humiliation,dhillatun,
ذِلَّةٌۭ ۖ,humiliation,dhillatun,
ذِلَّةٌۭ ۚ,humiliation,dhillatun,
ذِمَّةًۭ ۚ,covenant of protection,dhimmatan,
ذِى,(who is),dhī,
ذِى,(animal) with,dhī,
ذِى,owner,dhī,
ذِى,possessor,dhī,
ذِى,with,dhī,
ذِى,(to) relatives,dhī,
ذِى,(the) Owner,dhī,
ذِى,Dhul-qarnain,dhī,
ذِى,full (of) reminder,dhī,
ذِى,any,dhī,
ذِى,All-Able of retribution,dhī,
ذِى,Owner (of) the abundance,dhī,
ذِى,Owner,dhī,
ذِى,having,dhī,
ذِى,Possessor of,dhī,
ذِى,(the) Owner of,dhī,
ذِى,owner of,dhī,
ذِى,of,dhī,
ذَّهَبَ,he went,dhahaba,
ذَّٰلِكَ,That,dhālika,
رَءَا,he saw,raā,
رَءَا,(will) see,raā,
رَءَا,saw,raā,
رَءَاكَ,they see you,raāka,
رَءَاهَا,he saw it,raāhā,
رَءَاهُ,he saw it,raāhu,
رَءَاهُ,he saw him,raāhu,
رَءَآ,he saw,raā,
رَءُوفٌۢ,(is) full of Kindness,raūfun,
رَءُوفٌۢ,(is) Most Kind,raūfun,
رَءُوفٌۭ,(is) Most Kind,raūfun,
رَءُوفٌۭ,(he is) kind,raūfun,
رَءُوفٌۭ,(is) Full of Kindness,raūfun,
رَءُوفٌۭ,(are) Full of Kindness,raūfun,
رَأَتْهُ,she saw it,ra-athu,
رَأَتْهُم,it sees them,ra-athum,
رَأَوُا۟,they see,ra-awū,
رَأَوُا۟,they had seen,ra-awū,
رَأَوْا۟,they see,ra-aw,
رَأَوْا۟,they saw,ra-aw,
رَأَوْكَ,they see you,ra-awka,
رَأَوْهَا,they saw it,ra-awhā,
رَأَوْهُ,they saw it,ra-awhu,
رَأَوْهُ,they (will) see it,ra-awhu,
رَأَوْهُمْ,they saw them,ra-awhum,
رَأَىٰ,he saw,raā,
رَأَىٰٓ,it saw,raā,
رَأَيْتَ,you see,ra-ayta,
رَأَيْتَ,you look,ra-ayta,
رَأَيْتَ,you will see,ra-ayta,
رَأَيْتَهُمْ,you saw them,ra-aytahum,
رَأَيْتَهُمْ,you see them,ra-aytahum,
رَأَيْتُ,I saw,ra-aytu,
رَأَيْتُمُوهُ,you have seen it,ra-aytumūhu,
رَأَيْتُهُمْ,I saw them,ra-aytuhum,
رَأَيْنَهُۥٓ,they saw him,ra-aynahu,
رَأْسِهِۦ,his head,rasihi,
رَأْسِى,my head,rasī,
رَأْفَةًۭ,compassion,rafatan,
رَأْفَةٌۭ,pity for them,rafatun,
رَأْىَ,with the sight,raya,
رَابِعُهُمْ,(the) fourth of them,rābiʿuhum,
رَاضِيَةًۭ,well pleased,rāḍiyatan,
رَاضِيَةٌۭ,satisfied,rāḍiyatun,
رَاقٍۢ,(will) cure,rāqin,
رَاكِعًۭا,bowing,rākiʿan,
رَانَ,(the) stain has covered,rāna,
رَآدَّ,repeller,rādda,
رَآدُّوهُ,(will) restore him,rāddūhu,
رَبِحَت,profited,rabiḥat,
رَبًّۭا,(as) a Lord,rabban,
رَبَّ,(the) Lord,rabba,
رَبَّـٰنِيِّـۧنَ,worshippers of the Lord,rabbāniyyīna,
رَبَّكَ,(to) your Lord,rabbaka,
رَبَّكَ,your Lord,rabbaka,
رَبَّكُمُ,your Lord,rabbakumu,
رَبَّكُمْ,your Lord,rabbakum,
رَبَّكُمْ,(of) your Lord,rabbakum,
رَبَّكُمْ,(from) your Lord,rabbakum,
رَبَّكُمْ ۖ,your Lord,rabbakum,
رَبَّكُمْ ۚ,your Lord,rabbakum,
رَبَّنَا,"(saying), ""Our Lord",rabbanā,
رَبَّنَا,Our Lord,rabbanā,
رَبَّنَا,our Lord,rabbanā,
رَبَّنَا ۗ,our Lord,rabbanā,
رَبَّنَآ,Our Lord,rabbanā,
رَبَّنَآ,our Lord,rabbanā,
رَبَّنَآ ۖ,our Lord,rabbanā,
رَبَّهُم,their Lord,rabbahum,
رَبَّهُم,their Lord ,rabbahum,
رَبَّهُمَا,their Lord,rabbahumā,
رَبَّهُمْ,their Lord,rabbahum,
رَبَّهُمْ,(of) their Lord,rabbahum,
رَبَّهُمْ ۗ,their Lord,rabbahum,
رَبَّهُمْ ۗ,(in) their Lord,rabbahum,
رَبَّهُۥ,his Lord,rabbahu,
رَبَّهُۥ,(to) his master,rabbahu,
رَبَّهُۥ,(to) his Lord,rabbahu,
رَبَّهُۥ,(of) his Lord,rabbahu,
رَبَّهُۥ ۖ,his Lord,rabbahu,
رَبَّهُۥ ۗ,his Lord,rabbahu,
رَبَّهُۥٓ,(to) his Lord,rabbahu,
رَبَّهُۥٓ,his Lord,rabbahu,
رَبَّهُۥٓ ۖ,his Lord,rabbahu,
رَبَّيَانِى,they brought me up,rabbayānī,
رَبُّ,(is) the Lord,rabbu,
رَبُّ,Lord,rabbu,
رَبُّ,(is the) Lord,rabbu,
رَبُّ,(the) Lord,rabbu,
رَبُّكَ,your Lord,rabbuka,
رَبُّكَ,(is) your Lord,rabbuka,
رَبُّكَ,(by) your Lord,rabbuka,
رَبُّكَ,your Lord (had) willed,rabbuka,
رَبُّكَ,And your Lord is not,rabbuka,
رَبُّكَ,your Lord said,rabbuka,
رَبُّكَ,(from) your Lord,rabbuka,
رَبُّكَ,your Lord called,rabbuka,
رَبُّكَ ۖ,what your Lord wills ,rabbuka,
رَبُّكَ ۖ,your Lord,rabbuka,
رَبُّكَ ۚ,what your Lord wills,rabbuka,
رَبُّكَ ۚ,your Lord has bestowed Mercy,rabbuka,
رَبُّكُم,your Lord,rabbukum,
رَبُّكُم,Then has your Lord chosen (for) you,rabbukum,
رَبُّكُمَا,your Lord,rabbukumā,
رَبُّكُمُ,your Lord,rabbukumu,
رَبُّكُمْ,your Lord,rabbukum,
رَبُّكُمْ,(by) your Lord,rabbukum,
رَبُّكُمْ,that your Lord,rabbukum,
رَبُّكُمْ,Your Lord,rabbukum,
رَبُّكُمْ ۖ,your Lord,rabbukum,
رَبُّكُمْ ۖ,your Lord has said,rabbukum,
رَبُّكُمْ ۙ,has your Lord sent down,rabbukum,
رَبُّكُمْ ۚ,has your Lord sent down,rabbukum,
رَبُّكِ,your Lord,rabbuki,
رَبُّكِ ۖ,your Lord,rabbuki,
رَبُّنَا,(is) our Lord,rabbunā,
رَبُّنَا,our Lord,rabbunā,
رَبُّنَا,(by) Our Lord,rabbunā,
رَبُّنَا,Our Lord,rabbunā,
رَبُّنَا ۚ,our Lord,rabbunā,
رَبُّنَآ,our Lord,rabbunā,
رَبُّهَا,her Lord,rabbuhā,
رَبُّهُم,Their Lord gives them glad tidings,rabbuhum,
رَبُّهُم,their Lord,rabbuhum,
رَبُّهُمَا,their Lord,rabbuhumā,
رَبُّهُمَآ,their Lord,rabbuhumā,
رَبُّهُمْ,their Lord,rabbuhum,
رَبُّهُمْ ۚ,their Lord has given them,rabbuhum,
رَبُّهُۥ,his Lord,rabbuhu,
رَبُّهُۥٓ,his Lord,rabbuhu,
رَبِّ,the Lord,rabbi,
رَبِّ,My Lord,rabbi,
رَبِّ,O my Lord,rabbi,
رَبِّ,Lord,rabbi,
رَبِّ,my Lord,rabbi,
رَبِّ,(of the) Lord,rabbi,
رَبِّ,(the) Lord,rabbi,
رَبِّ,(to the) Lord,rabbi,
رَبِّ,(the) lord,rabbi,
رَبِّكَ,(of) your Lord,rabbika,
رَبِّكَ,(of) your Lord ,rabbika,
رَبِّكَ,your Lord,rabbika,
رَبِّكَ,(is) the seizure (of) your Lord,rabbika,
رَبِّكَ,(the) Word of your Lord,rabbika,
رَبِّكَ,your master,rabbika,
رَبِّكَ,your lord,rabbika,
رَبِّكَ,(be to) your Lord,rabbika,
رَبِّكَ,by your Lord,rabbika,
رَبِّكَ ۖ,(of) your Lord,rabbika,
رَبِّكَ ۖ,your Lord,rabbika,
رَبِّكَ ۖ,(the) command (of) your Lord,rabbika,
رَبِّكَ ۗ,(of) your Lord,rabbika,
رَبِّكَ ۚ,(of) your Lord,rabbika,
رَبِّكُم,your Lord,rabbikum,
رَبِّكُمَا,(of) your Lord,rabbikumā,
رَبِّكُمْ,your Lord,rabbikum,
رَبِّكُمْ,(with) your Lord,rabbikum,
رَبِّكُمْ,(of) your Lord,rabbikum,
رَبِّكُمْ ۖ,(of) your Lord,rabbikum,
رَبِّكُمْ ۗ,your Lord,rabbikum,
رَبِّكُمْ ۚ,your Lord,rabbikum,
رَبِّكِ,(of) your Lord,rabbiki,
رَبِّكِ,(from) your Lord,rabbiki,
رَبِّكِ,your Lord,rabbiki,
رَبِّنَا,our Lord,rabbinā,
رَبِّنَا,(of) our Lord,rabbinā,
رَبِّنَا,(of) our Lord ,rabbinā,
رَبِّنَا ۗ,our Lord,rabbinā,
رَبِّنَآ,our Lord,rabbinā,
رَبِّنَآ,(to) our Lord,rabbinā,
رَبِّنَآ ۖ,(of) our Lord,rabbinā,
رَبِّهَا,(of) its Lord,rabbihā,
رَبِّهَا,(of) her Lord,rabbihā,
رَبِّهَا,their Lord,rabbihā,
رَبِّهَا ۗ,of its Lord,rabbihā,
رَبِّهِ,(of) his Lord,rabbihi,
رَبِّهِم,their Lord,rabbihim,
رَبِّهِم,(of) their Lord,rabbihim,
رَبِّهِمُ,their Lord,rabbihimu,
رَبِّهِمْ,their Lord,rabbihim,
رَبِّهِمْ,(of) their Lord,rabbihim,
رَبِّهِمْ,(with) their Lord,rabbihim,
رَبِّهِمْ,(of) your Lord,rabbihim,
رَبِّهِمْ,their Lord ,rabbihim,
رَبِّهِمْ ۖ,their Lord,rabbihim,
رَبِّهِمْ ۖ,(of) their Lord,rabbihim,
رَبِّهِمْ ۗ,their Lord,rabbihim,
رَبِّهِمْ ۗ,(with) their Lord,rabbihim,
رَبِّهِمْ ۙ,their Lord,rabbihim,
رَبِّهِمْ ۚ,their Lord,rabbihim,
رَبِّهِۦ,his Lord,rabbihi,
رَبِّهِۦ,(to) his master,rabbihi,
رَبِّهِۦ,(of) his Lord,rabbihi,
رَبِّهِۦ,(with) his Lord,rabbihi,
رَبِّهِۦ,(before) his Lord,rabbihi,
رَبِّهِۦ ۖ,(of) its Lord,rabbihi,
رَبِّهِۦ ۖ,(of) his Lord,rabbihi,
رَبِّهِۦ ۗ,his Lord,rabbihi,
رَبِّهِۦ ۗ,(of) his Lord,rabbihi,
رَبِّهِۦ ۚ,(of) his Lord,rabbihi,
رَبِّهِۦٓ,his Lord,rabbihi,
رَبِّهِۦٓ,(of) his Lord,rabbihi,
رَبِّهِۦٓ ۗ,(of) his Lord,rabbihi,
رَبِّهِۦٓ ۚ,his Lord,rabbihi,
رَبِّى,(is) my Lord,rabbī,
رَبِّى,my Lord,rabbī,
رَبِّى,(by) my Lord,rabbī,
رَبِّى,(of) my Lord,rabbī,
رَبِّى,And my Lord will give succession,rabbī,
رَبِّى,(to) my Lord,rabbī,
رَبِّى,My Lord,rabbī,
رَبِّى ۖ,(is) my Lord,rabbī,
رَبِّى ۖ,my Lord,rabbī,
رَبِّىَ,My Lord,rabbiya,
رَبِّىَ,my Lord,rabbiya,
رَبِّىٓ,my Lord,rabbī,
رَبِّىٓ,(is) my lord,rabbī,
رَبِّىٓ,(of) my Lord,rabbī,
رَبِّىٓ,that my Lord,rabbī,
رَبِّىٓ,My Lord,rabbī,
رَبِّىٓ ۖ,(from) my Lord,rabbī,
رَبِّىٓ ۖ,my Lord,rabbī,
رَبِّىٓ ۚ,my Lord,rabbī,
رَبْوَةٍۢ,a high ground,rabwatin,
رَتْقًۭا,a joined entity,ratqan,
رَجَعَ,returned,rajaʿa,
رَجَعُوٓا۟,they return,rajaʿū,
رَجَعُوٓا۟,they returned,rajaʿū,
رَجَعْتُمْ,you (have) returned,rajaʿtum,
رَجَعْتُمْ ۗ,you return,rajaʿtum,
رَجُلًا,a man,rajulan,
رَجُلًۭا,a man,rajulan,
رَجُلًۭا,men,rajulan,
رَجُلًۭا,(into) a man,rajulan,
رَجُلٌ,a man,rajulun,
رَجُلٌۢ,a man,rajulun,
رَجُلٌۭ,a man,rajulun,
رَجُلٍۢ,a man,rajulin,
رَجُلَانِ,two men,rajulāni,
رَجُلَيْنِ,two men,rajulayni,
رَجِيمٌۭ,(are) expelled,rajīmun,
رَجِيمٌۭ,(are) accursed,rajīmun,
رَجًّۭا,(with) a shaking,rajjan,
رَجْعٌۢ,(is) a return,rajʿun,
رَجْعِهِۦ,return him,rajʿihi,
رَجْمًۢا,guessing,rajman,
رَحُبَتْ,(in spite) of its vastness,raḥubat,
رَحُبَتْ,it was vast,raḥubat,
رَحِمَ,bestows Mercy,raḥima,
رَحِمَنَا,has mercy upon us,raḥimanā,
رَحِمَهُۥ ۚ,He had Mercy on him,raḥimahu,
رَحِمْتَهُۥ ۚ,You have bestowed mercy on him,raḥim'tahu,
رَحِمْنَـٰهُمْ,We had mercy on them,raḥim'nāhum,
رَحِيمًۭا,Most Merciful,raḥīman,
رَحِيمًۭا,Ever Merciful,raḥīman,
رَحِيمًۭا,Merciful,raḥīman,
رَحِيمٌۭ,(is) Most Merciful,raḥīmun,
رَحْلِ,the bag,raḥli,
رَحْلِهِۦ,his bag,raḥlihi,
رَحْمَةً,Mercy,raḥmatan,
رَحْمَةً ۚ,mercy,raḥmatan,
رَحْمَةًۭ,mercy,raḥmatan,
رَحْمَةًۭ,(of) Mercy from Us,raḥmatan,
رَحْمَةًۭ,a Mercy,raḥmatan,
رَحْمَةًۭ,a mercy,raḥmatan,
رَحْمَةًۭ,Mercy,raḥmatan,
رَحْمَةًۭ,(as) a mercy,raḥmatan,
رَحْمَةًۭ,(as) Mercy,raḥmatan,
رَحْمَةًۭ,(by) Mercy,raḥmatan,
رَحْمَةًۭ,As Mercy,raḥmatan,
رَحْمَةًۭ ۚ,a mercy,raḥmatan,
رَحْمَةٌۭ,(is) a mercy,raḥmatun,
رَحْمَةٍۢ,(of) Mercy,raḥmatin,
رَحْمَةٍۢ,Mercy,raḥmatin,
رَحْمَةٍۢ,mercy,raḥmatin,
رَحْمَةَ,(for the) Mercy,raḥmata,
رَحْمَةِ,(the) Mercy,raḥmati,
رَحْمَةِ,(of) the Mercy,raḥmati,
رَحْمَةِ,(of the) Mercy,raḥmati,
رَحْمَتَ,(for) Mercy,raḥmata,
رَحْمَتَ,(the) Mercy,raḥmata,
رَحْمَتَهُۥ,(for) His mercy,raḥmatahu,
رَحْمَتَهُۥ ۚ,His mercy,raḥmatahu,
رَحْمَتُ,The Mercy of Allah,raḥmatu,
رَحْمَتِ,(of the) Mercy,raḥmati,
رَحْمَتِكَ ۖ,Your Mercy,raḥmatika,
رَحْمَتِنَآ ۖ,Our Mercy,raḥmatinā,
رَحْمَتِهِۦ,His Mercy,raḥmatihi,
رَحْمَتِهِۦ ۖ,His Mercy,raḥmatihi,
رَحْمَتِهِۦ ۚ,His Mercy,raḥmatihi,
رَحْمَتِهِۦ ۚ,(of) His mercy,raḥmatihi,
رَحْمَتِهِۦ ۚ,His mercy,raḥmatihi,
رَحْمَتِهِۦٓ ۗ,His Mercy,raḥmatihi,
رَدَدْنَا,We gave back,radadnā,
رَدَدْنَـٰهُ,We returned him,radadnāhu,
رَدِفَ,close behind,radifa,
رَدَّهَا,to repel it,raddahā,
رَدُّوهُ,they (had) referred it,raddūhu,
رَدْمًا,a barrier,radman,
رَزَقَكُمُ,has provided you,razaqakumu,
رَزَقَكُمُ,(has been) provided (to) you,razaqakumu,
رَزَقَكُمُ,Allah has provided you ,razaqakumu,
رَزَقَكُمُ,(has) provided you,razaqakumu,
رَزَقَكُمْ,He provided (for) you,razaqakum,
رَزَقَهُم,He has provided them,razaqahum,
رَزَقَهُم,He (has) provided them,razaqahum,
رَزَقَهُمُ,(has) provided them,razaqahumu,
رَزَقَهُمُ,(bas been) provided (to) them,razaqahumu,
رَزَقْنَـٰكُم,We (have) provided you,razaqnākum,
رَزَقْنَـٰكُم,We have provided you,razaqnākum,
رَزَقْنَـٰكُمْ,We have provided you,razaqnākum,
رَزَقْنَـٰكُمْ ۖ,We have provided you,razaqnākum,
رَزَقْنَـٰكُمْ ۚ,We have provided you,razaqnākum,
رَزَقْنَـٰهُمْ,We have provided them,razaqnāhum,
رَزَقْنَـٰهُمْ ۗ,We have provided them,razaqnāhum,
رَسُولًا,(as) a Messenger,rasūlan,
رَسُولًۭا,a Messenger,rasūlan,
رَسُولًۭا,a Messenger ,rasūlan,
رَسُولًۭا,a messenger,rasūlan,
رَسُولًۭا ۚ,(as) a Messenger,rasūlan,
رَسُولًۭا ۚ,a Messenger,rasūlan,
رَسُولٌ,a Messenger,rasūlun,
رَسُولٌۢ,a Messenger,rasūlun,
رَسُولٌۢ,any Messenger,rasūlun,
رَسُولٌۭ,a Messenger,rasūlun,
رَسُولٌۭ,A Messenger,rasūlun,
رَسُولٍۢ,(of) a Messenger,rasūlin,
رَسُولَ,(the) Messenger,rasūla,
رَسُولَ,(is the) Messenger of Allah,rasūla,
